M1,Mn,p2,Theta,Beta
3,1.83977,3.783,20.0522,37.8253,
3,1.8421,3.793,20.0999,37.8816,
3,1.84442,3.803,20.1474,37.9379,
3,1.84674,3.813,20.1948,37.9941,
3,1.84906,3.823,20.2422,38.0503,
3,1.85138,3.833,20.2895,38.1065,
3,1.85369,3.843,20.3367,38.1627,
3,1.856,3.853,20.3838,38.2188,
3,1.85831,3.863,20.4308,38.2749,
3,1.86061,3.873,20.4777,38.331,
3,1.86291,3.883,20.5246,38.387,
3,1.86521,3.893,20.5713,38.4431,
3,1.86751,3.903,20.618,38.4991,
3,1.8698,3.913,20.6646,38.555,
3,1.87209,3.923,20.7111,38.611,
3,1.87438,3.933,20.7576,38.6669,
3,1.87666,3.943,20.8039,38.7228,
3,1.87894,3.953,20.8502,38.7787,
3,1.88122,3.963,20.8964,38.8345,
3,1.8835,3.973,20.9425,38.8904,
3,1.88577,3.983,20.9885,38.9462,
3,1.88804,3.993,21.0344,39.0019,
